Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.3504504504504504,0.24025289778714437,711.0,275.0,0.9649122807017544,114.0,0.9193548387096774,10.0,0.03508771929824561,0.2789046653144016,0.13818181818181818,0.1429663768599682,0.9492548526452825,0.11171171171171171,0.8882882882882883,1.236950146627566,1.086260275435038
0.3567567567567568,0.25625,702.0,273.0,0.9578947368421052,123.0,0.9111111111111111,12.0,0.042105263157894736,0.28,0.14909090909090908,0.14299001946708834,0.9466761242736571,0.12162162162162163,0.8783783783783784,1.2258585858585858,1.0905263157894736
0.35945945945945945,0.2616822429906542,699.0,273.0,0.9578947368421052,126.0,0.9130434782608695,12.0,0.042105263157894736,0.2808641975308642,0.15272727272727274,0.14645974452732402,0.9459265558972646,0.12432432432432433,0.8756756756756756,1.2284584980237154,1.093892137751787
0.36666666666666664,0.2760041194644696,691.0,273.0,0.9578947368421052,134.0,0.9178082191780822,12.0,0.042105263157894736,0.28319502074688796,0.16242424242424242,0.15551367996739449,0.9434632840586986,0.13153153153153152,0.8684684684684685,1.2348692403486925,1.1029700808036689
0.37747747747747745,0.2970498474059003,679.0,273.0,0.9578947368421052,146.0,0.9240506329113924,12.0,0.042105263157894736,0.2867647058823529,0.17696969696969697,0.16861640283573165,0.9418359720523273,0.14234234234234233,0.8576576576576577,1.2432681242807826,1.11687306501548
0.3855855855855856,0.31388329979879276,669.0,272.0,0.9543859649122807,156.0,0.9230769230769231,13.0,0.0456140350877193,0.28905419766206164,0.1890909090909091,0.17445890657235805,0.9405433287395629,0.15225225225225225,0.8477477477477477,1.241958041958042,1.1257900329996084
0.3954954954954955,0.33233830845771145,658.0,272.0,0.9543859649122807,167.0,0.9277777777777778,13.0,0.0456140350877193,0.2924731182795699,0.20242424242424242,0.18584291398061883,0.9372683548717764,0.16216216216216217,0.8378378378378378,1.2482828282828282,1.1391058290888512
0.40540540540540543,0.35039370078740156,647.0,272.0,0.9543859649122807,178.0,0.9319371727748691,13.0,0.0456140350877193,0.2959738846572361,0.21575757575757576,0.19692027389100747,0.9341911358442399,0.17207207207207206,0.8279279279279279,1.2538791051880058,1.1527403928755513
0.4117117117117117,0.3641674780915287,638.0,270.0,0.9473684210526315,187.0,0.9257425742574258,15.0,0.05263157894736842,0.2973568281938326,0.22666666666666666,0.1970459948228529,0.9319833606209899,0.18198198198198198,0.818018018018018,1.2455445544554455,1.158126594018085
0.4189189189189189,0.37921077959576516,628.0,268.0,0.9403508771929825,197.0,0.9205607476635514,17.0,0.05964912280701754,0.29910714285714285,0.2387878787878788,0.19837094705832603,0.9284845934906129,0.1927927927927928,0.8072072072072072,1.2385726423109602,1.1649436090225564
0.42702702702702705,0.3942857142857143,618.0,267.0,0.9368421052631579,207.0,0.92,18.0,0.06315789473684211,0.3016949152542373,0.2509090909090909,0.204018346048311,0.9249937025736792,0.20270270270270271,0.7972972972972973,1.2378181818181817,1.175022301516503
0.4369369369369369,0.410933081998115,607.0,267.0,0.9368421052631579,218.0,0.923728813559322,18.0,0.06315789473684211,0.30549199084668194,0.2642424242424242,0.21469223927956121,0.9209133275819754,0.2126126126126126,0.7873873873873873,1.2428351309707242,1.189810911718656
0.44684684684684683,0.42723880597014924,596.0,267.0,0.9368421052631579,229.0,0.9271255060728745,18.0,0.06315789473684211,0.3093858632676709,0.2775757575757576,0.22519383284429692,0.917638740824727,0.22252252252252253,0.7774774774774775,1.2474052263525948,1.2049765200951392
