,leftEmployer,jobLength_old,avgSalary,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingOverall,ratingRecommendToFriend,ratingSeniorManagement,ratingWorkLifeBalance,employeesTotalNum,gdSectorName,metro,jobTitle,ratepca_f,ratingBusinessOutlook_f,ratingCareerOpportunities_f,ratingCeo_f,ratingCompensationAndBenefits_f,ratingCultureAndValues_f,ratingOverall_f,ratingRecommendToFriend_f,ratingSeniorManagement_f,ratingWorkLifeBalance_f,avgSalary_f,job_f
31,0,64.21621621621621,2.225225225225225,80.06306306306307,71.09009009009009,71.0,64.14414414414415,67.09009009009009,53.612612612612615,57.270270270270274,53.73873873873874,26.855855855855857,371000,20,6,205,179.28054251522528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15259075375995249,1.4375
32,1,51.189189189189186,13.315315315315315,45.3963963963964,52.24324324324324,63.4954954954955,75.8018018018018,56.846846846846844,49.990990990990994,59.270270270270274,50.73873873873874,40.126126126126124,129200,14,6,651,162.93971348459462,0.46153846153846134,-0.21086261980830662,-0.41666666666666663,-0.2696629213483146,-0.1565217391304348,-0.2996941896024465,0.08823529411764697,-0.23448275862068957,-0.27795527156549527,-0.16968706179797197,2.0
33,0,90.98198198198199,59.24324324324324,97.4054054054054,94.09909909909909,81.10810810810811,97.51351351351352,98.36936936936937,96.49549549549549,96.62162162162163,98.45045045045045,96.09909909909909,110000,12,29,1083,283.8855742805405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21419392190658842,1.4411764705882353
34,1,71.65765765765765,91.95495495495496,27.35135135135135,63.65765765765766,32.86486486486486,52.711711711711715,62.83783783783784,51.792792792792795,57.270270270270274,71.37837837837837,73.77477477477477,56218,9,60,611,166.10798056405403,-0.5333333333333333,-0.18404907975460114,0.4999999999999999,-0.08282208588957042,-0.18873239436619718,-0.19756838905775073,-0.3880597014925374,-0.19314641744548292,-0.14754098360655737,2.683286912402048e-15,1.7
35,0,5.657657657657658,83.15315315315316,43.08108108108108,91.68468468468468,95.24324324324324,77.8018018018018,63.4054054054054,66.04504504504504,52.14414414414414,81.34234234234235,77.34234234234235,10000,12,23,776,214.3419994328829,-0.026315789473684233,-0.17837837837837842,0.0,-0.11142061281337046,-0.16292134831460675,-0.15142857142857138,-0.23437500000000003,-0.191740412979351,-0.11827956989247322,-0.2586416541318282,5.5
36,1,39.450450450450454,68.66666666666667,40.873873873873876,44.63963963963964,95.24324324324324,47.693693693693696,29.8018018018018,28.73873873873874,28.28828828828829,38.16216216216216,49.45945945945946,10000,12,23,160,129.64640459702704,0.35135135135135137,0.05592105263157892,0.0,-0.015673981191222514,0.08389261744966443,0.1279461279461279,0.5102040816326531,0.0328467153284671,0.012195121951219523,-3.4543352660510005e-16,2.0
37,1,5.657657657657658,53.252252252252255,98.44144144144144,61.873873873873876,61.72072072072072,39.270270270270274,65.21621621621621,55.04504504504504,82.82882882882883,80.08108108108108,37.351351351351354,241359,9,84,538,193.5359242772072,-0.7052631578947368,0.0030864197530863537,0.012048192771084348,0.05228758169934645,0.01666666666666668,0.09281437125748505,-0.03658536585365844,-0.044642857142857116,0.18122977346278318,-0.467626588993254,2.0
38,1,56.567567567567565,95.92792792792793,96.8108108108108,36.711711711711715,18.963963963963963,8.54954954954955,79.90090090090091,36.34234234234234,47.513513513513516,18.225225225225227,70.81981981981981,2744,12,15,749,135.35267453828828,-0.776470588235294,-0.1262798634812287,-0.625,0.6239316239316239,-0.17708333333333326,-0.0420711974110032,0.0,0.024793388429752088,-0.055401662049861425,0.0,1.6923076923076923
39,0,5.657657657657658,23.783783783783782,56.7027027027027,74.84684684684684,48.189189189189186,66.53153153153153,61.67567567567568,65.29729729729729,82.82882882882883,81.76576576576576,66.98198198198199,4175,8,15,567,202.42493883225222,0.4666666666666667,0.011730205278592386,0.1333333333333333,-0.017492711370262405,0.059490084985835814,0.08022922636103146,0.09756097560975618,0.01764705882352943,0.0647887323943662,0.14691539227895334,3.0
40,1,23.0990990990991,20.52252252252252,73.63063063063063,44.63963963963964,53.2972972972973,43.090090090090094,58.73873873873874,45.26126126126126,55.44144144144144,52.57657657657658,40.9009009009009,371000,20,60,903,154.14485440765768,-0.18181818181818185,-0.026315789473684233,-0.10256410256410266,-0.3878205128205129,-0.4339080459770115,-0.13043478260869576,-0.3181818181818182,-0.3013698630136986,-0.1592356687898089,0.3081347349526889,1.8
41,0,18.216216216216218,32.972972972972975,67.86486486486487,45.3963963963964,73.1891891891892,55.22522522522522,96.1981981981982,67.43243243243244,80.95495495495496,71.97297297297297,56.65765765765766,80000,20,42,148,205.42161136225226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007542394760619126,2.25
42,0,51.189189189189186,38.792792792792795,88.31531531531532,83.77477477477477,73.1891891891892,55.22522522522522,84.77477477477477,89.51351351351352,88.72072072072072,86.03603603603604,76.44144144144144,2868,8,67,1203,242.59112777387386,-0.08823529411764713,-0.0253521126760563,0.04494382022471914,0.012158054711246211,-0.0025316455696203113,-0.04822335025380709,-0.046511627906976785,0.0343839541547277,-0.0296495956873315,2.0414438184112447,2.4166666666666665
43,1,66.43243243243244,51.189189189189186,13.594594594594595,15.477477477477477,27.98198198198198,16.46846846846847,20.54054054054054,12.477477477477477,23.90990990990991,30.036036036036037,49.45945945945946,3000,9,15,219,69.03905098432432,1.6666666666666672,0.2923076923076922,-0.33898305084745756,0.42145593869731807,0.3821428571428573,0.26235741444866917,0.3913043478260869,0.3193916349809887,-0.06707317073170725,0.4555623186478811,1.1764705882352942
44,1,51.189189189189186,72.46846846846847,67.86486486486487,36.711711711711715,48.189189189189186,30.603603603603602,19.7027027027027,36.34234234234234,42.5045045045045,45.4954954954955,63.86486486486486,132000,12,82,328,126.96692585855857,0.01960784313725492,0.11604095563139927,0.2933333333333333,0.33333333333333326,0.485611510791367,0.21682847896440127,0.29310344827586216,0.18309859154929578,0.21714285714285708,6.333654741764184e-16,2.0
45,0,61.693693693693696,3.7927927927927927,29.396396396396398,11.207207207207206,3.954954954954955,28.43243243243243,0.8288288288288288,4.792792792792793,5.405405405405405,10.36936936936937,12.27927927927928,2200000,20,68,205,32.750092144774776,-0.09677419354838701,0.092,0.7222222222222223,-0.12195121951219515,0.45783132530120485,0.0472103004291845,0.11538461538461527,0.02242152466367705,0.015325670498084306,0.03707428826865588,1.4666666666666666
46,1,56.567567567567565,3.7927927927927927,11.27027027027027,5.927927927927928,3.765765765765766,21.09009009009009,25.774774774774773,23.513513513513512,16.72972972972973,11.81081081081081,18.576576576576578,140000,20,68,205,46.54753540036036,1.8947368421052633,0.46982758620689674,4.117647058823529,0.30147058823529405,0.12068965517241383,0.21328671328671342,0.7000000000000001,0.3392070484581498,0.2210144927536233,1.204736400972259,1.5384615384615385
47,1,56.567567567567565,22.28828828828829,77.90990990990991,90.78378378378379,95.24324324324324,73.5945945945946,59.42342342342342,98.27927927927928,23.90990990990991,84.52252252252252,70.81981981981981,140000,20,82,903,222.06096533981977,0.4310344827586207,-0.18206521739130443,-0.010000000000000009,0.028328611898017025,0.38108882521489973,-0.27314814814814814,0.717391304347826,-0.14739884393063576,0.024930747922437758,0.1317152431061169,1.4615384615384615
48,1,59.13513513513514,75.35135135135135,73.63063063063063,77.65765765765765,46.47747747747748,50.27927927927928,93.1891891891892,56.990990990990994,42.5045045045045,71.97297297297297,35.42342342342342,341000,20,22,160,183.0168088927928,-0.12727272727272737,-0.07246376811594203,0.054054054054054106,-0.0030959752321980762,-0.21002386634844875,-0.008902077151335385,0.13793103448275876,-0.06211180124223608,0.01960784313725492,-0.07913282129522975,1.0714285714285714
49,1,51.189189189189186,51.486486486486484,62.5945945945946,66.18018018018019,67.47747747747748,86.38738738738739,74.48648648648648,68.77477477477477,77.70270270270271,67.97297297297297,66.98198198198199,10000,21,29,259,211.3778766416216,-0.27083333333333337,0.05471124620060795,-0.186046511627907,-0.010610079575596827,0.005347593582887587,0.06214689265536716,-0.025316455696202552,-0.03174603174603177,0.03661971830985925,-0.3319301674402872,1.5833333333333333
50,0,56.567567567567565,48.55855855855856,70.91891891891892,74.84684684684684,58.14414414414414,52.711711711711715,67.74774774774775,86.52252252252252,82.82882882882883,72.96396396396396,75.71171171171171,5000,8,94,833,215.08837797126125,0.018867924528301903,-0.01759530791788858,-0.08641975308641982,0.015337423312883519,-0.07967032967032968,-0.0850515463917526,-0.07317073170731701,-0.1111111111111112,-0.029729729729729815,-0.1617575706521622,1.1538461538461537
51,1,18.216216216216218,85.009009009009,75.26126126126127,76.85585585585585,75.51351351351352,73.5945945945946,74.48648648648648,85.54054054054055,96.62162162162163,88.54954954954955,91.98198198198199,10400,8,15,839,245.84907058108107,-0.6428571428571429,-0.28197674418604646,-0.9,-0.2294617563739376,0.06951871657754005,-0.26424870466321243,-0.7634408602150538,-0.48587570621468923,-0.084788029925187,-0.2655861908847314,4.0
52,1,66.43243243243244,58.78378378378378,43.08108108108108,82.66666666666667,51.6036036036036,59.153153153153156,48.531531531531535,58.567567567567565,57.270270270270274,65.63963963963964,75.71171171171171,132000,12,15,687,180.32138870027026,0.5526315789473684,-0.036827195467422066,-0.22077922077922082,0.0,0.012084592145015116,0.03244837758112091,-0.1044776119402986,0.019292604501607736,-0.17837837837837842,0.509090909090909,1.1176470588235294
53,0,70.08108108108108,50.21621621621622,91.21621621621621,26.396396396396398,36.72072072072072,88.09009009009009,42.792792792792795,36.34234234234234,53.747747747747745,42.891891891891895,26.855855855855857,9100,12,58,921,142.83159298990992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30657026023912975,1.3157894736842106
54,0,85.65765765765765,64.54054054054055,54.828828828828826,11.936936936936936,18.045045045045047,4.7207207207207205,38.0,4.45945945945946,15.81981981981982,18.7027027027027,27.945945945945947,58,3,52,793,62.33466661081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11046017418464116,1.1428571428571428
