Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.35585585585585583,0.2465753424657534,708.0,278.0,0.9754385964912281,117.0,0.9435483870967742,7.0,0.02456140350877193,0.281947261663286,0.14181818181818182,0.16260655981969158,0.9262007936507941,0.11171171171171171,0.8882882882882883,1.2695014662756599,1.0981103875306928
0.36576576576576575,0.26666666666666666,697.0,278.0,0.9754385964912281,128.0,0.9481481481481482,7.0,0.02456140350877193,0.28512820512820514,0.15515151515151515,0.1745382050382408,0.920309523809524,0.12162162162162163,0.8783783783783784,1.2756902356902355,1.1104993252361675
0.372972972972973,0.2839506172839506,687.0,276.0,0.968421052631579,138.0,0.9387755102040817,9.0,0.031578947368421054,0.2866043613707165,0.16727272727272727,0.17487894867116358,0.9165301587301595,0.13243243243243244,0.8675675675675676,1.2630797773654916,1.11624856533858
0.38288288288288286,0.3031536113936928,676.0,276.0,0.968421052631579,149.0,0.9430379746835443,9.0,0.031578947368421054,0.28991596638655465,0.1806060606060606,0.1863235179868823,0.9108738095238098,0.14234234234234233,0.8576576576576577,1.2688147295742234,1.1291463954002654
0.38738738738738737,0.3158953722334004,668.0,273.0,0.9578947368421052,157.0,0.9289940828402367,12.0,0.042105263157894736,0.29011689691817216,0.1903030303030303,0.18019921741555703,0.9057444444444445,0.15225225225225225,0.8477477477477477,1.2499193114577731,1.1299289669444599
0.3954954954954955,0.33233830845771145,658.0,272.0,0.9543859649122807,167.0,0.9277777777777778,13.0,0.0456140350877193,0.2924731182795699,0.20242424242424242,0.18584291398061883,0.902296031746032,0.16216216216216217,0.8378378378378378,1.2482828282828282,1.1391058290888512
0.4027027027027027,0.3455083909180652,650.0,272.0,0.9543859649122807,175.0,0.9308510638297872,13.0,0.0456140350877193,0.2950108459869848,0.21212121212121213,0.19392686508832152,0.9007555555555561,0.16936936936936936,0.8306306306306306,1.2524177949709865,1.1489896106861515
0.40540540540540543,0.35039370078740156,647.0,272.0,0.9543859649122807,178.0,0.9319371727748691,13.0,0.0456140350877193,0.2959738846572361,0.21575757575757576,0.19692027389100747,0.9003063492063493,0.17207207207207206,0.8279279279279279,1.2538791051880058,1.1527403928755513
0.4144144144144144,0.36770428015564205,636.0,271.0,0.9508771929824561,189.0,0.9310344827586207,14.0,0.04912280701754386,0.298787210584344,0.2290909090909091,0.20337299222418964,0.8963698412698414,0.18288288288288287,0.8171171171171171,1.252664576802508,1.1636975570127082
0.4243243243243243,0.3849855630413859,625.0,271.0,0.9508771929824561,200.0,0.9345794392523364,14.0,0.04912280701754386,0.30245535714285715,0.24242424242424243,0.2140541202231937,0.892455555555556,0.1927927927927928,0.8072072072072072,1.2574341546304164,1.177984022556391
